Trieda cesty;»Ìslo cesty;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - podrobn˝;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - obec/okres;DÂûka cesty / km;
cesta III. triedy;1735;"zaË. cesty III/1735, kriû. III/1735 x II/514, VeækÈ RipÚany, okr. TopoæËany; kriû. III/1315 x III/1735, Radoöina, okr. TopoæËany; kon. cesty III/1735, kriû. III/1735 x II/499, Radoöina, okr. TopoæËany";"VeækÈ RipÚany, okr. TopoæËany; Radoöina, okr. TopoæËany";6,043;
cesta III. triedy;1736;"zaË. cesty III/1736, kriû. III/1736 x II/514, HornÈ ätit·re, okr. TopoæËany; kon. cesty III/1736, kriû. III/1719 x III/1736, Krtovce, okr. TopoæËany";"HornÈ ätit·re, okr. TopoæËany; Krtovce, okr. TopoæËany";5,152;
cesta III. triedy;1737;"zaË. cesty III/1737, kriû. III/1737 x II/514, VeækÈ RipÚany, okr. TopoæËany; kon. cesty III/1737, VeækÈ RipÚany, okr. TopoæËany";VeækÈ RipÚany, okr. TopoæËany;0,117;
cesta III. triedy;1745;"zaË. cesty III/1745, kriû. III/1745 x II/592, Ostratice, okr. Partiz·nske; kriû. III/1745 x MK, Ostratice, okr. Partiz·nske; kriû. III/1745 x III/1747, Ostratice, okr. Partiz·nske; kriû. III/1745 x MK, Ostratice, okr. Partiz·nske; kriû. III/1745 x III/1748, Ostratice, okr. Partiz·nske; kriû. III/1745 x MK, éabokreky Nad Nitrou, okr. Partiz·nske; kriû. III/1745 x I/64, éabokreky Nad Nitrou, okr. Partiz·nske; kon. cesty III/1745, kriû. III/1745 x I/64, éabokreky Nad Nitrou, okr. Partiz·nske";"Ostratice, okr. Partiz·nske; éabokreky Nad Nitrou, okr. Partiz·nske";3,965;
cesta III. triedy;1746;"zaË. cesty III/1746, kriû. III/1746 x II/592, Ostratice, okr. Partiz·nske; kriû. III/1746 x MK, Ostratice, okr. Partiz·nske; kriû. III/1746 x III/1749, okr. Partiz·nske; hr. okr. B·novce nad Bebravou, Partiz·nske; kriû. III/1746 x MK, okr. B·novce nad Bebravou; kriû. III/1746 x III/1839, okr. B·novce nad Bebravou; kriû. III/1746 x MK, okr. B·novce nad Bebravou; kriû. III/1746 x MK, Pravotice, okr. B·novce nad Bebravou; kriû. III/1746 x III/1838, Pravotice, okr. B·novce nad Bebravou; kriû. III/1746 x MK, Pravotice, okr. B·novce nad Bebravou; kon. cesty III/1746, kriû. III/1746 x I/9, okr. B·novce nad Bebravou";"Ostratice, okr. Partiz·nske; okr. Partiz·nske; hr. okr. B·novce nad Bebravou, Partiz·nske; okr. B·novce nad Bebravou; Pravotice, okr. B·novce nad Bebravou; okr. B·novce nad Bebravou";7,443;
cesta III. triedy;1747;"zaË. cesty III/1747, kriû. III/1745 x III/1747, Ostratice, okr. Partiz·nske; kriû. III/1747 x MK, Ostratice, okr. Partiz·nske; kon. cesty III/1747, Ostratice, okr. Partiz·nske";Ostratice, okr. Partiz·nske;0,177;
cesta III. triedy;1748;"zaË. cesty III/1748, kriû. III/1745 x III/1748, Ostratice, okr. Partiz·nske; kon. cesty III/1748, okr. Partiz·nske";"Ostratice, okr. Partiz·nske; okr. Partiz·nske";1,553;
cesta III. triedy;1749;"zaË. cesty III/1749, kriû. III/1746 x III/1749, okr. Partiz·nske; kon. cesty III/1749, okr. Partiz·nske";okr. Partiz·nske;0,539;
cesta III. triedy;1750;"zaË. cesty III/1750, kriû. III/1750 x II/593, Boöany, okr. Partiz·nske; kriû. III/1750 x III/1763, okr. Partiz·nske; kriû. III/1750 x III/1763, okr. Partiz·nske; kriû. III/1750 x III/1752, Kl·tova Nov· Ves, okr. Partiz·nske; kriû. III/1750 x MK, Kl·tova Nov· Ves »asù Janova , okr. Partiz·nske; kriû. III/1750 x MK, okr. Partiz·nske; kriû. III/1750 x MK, Jeökova Ves, okr. Partiz·nske; kriû. III/1750 x III/1751, Jeökova Ves, okr. Partiz·nske; kriû. III/1750 x MK, okr. Partiz·nske; hr. vl. NR SK, TN SK, hr. spr. RSUC NR - NR, SC TN SK - PD, hr. okr. Partiz·nske, ZlatÈ Moravce; kriû. III/1750 x MK, Sk˝cov, okr. ZlatÈ Moravce; kon. cesty III/1750, kriû. III/1750 x II/511, Sk˝cov, okr. ZlatÈ Moravce";"Boöany, okr. Partiz·nske; okr. Partiz·nske; Kl·tova Nov· Ves, okr. Partiz·nske; Kl·tova Nov· Ves »asù Janova , okr. Partiz·nske; okr. Partiz·nske; Jeökova Ves, okr. Partiz·nske; okr. Partiz·nske; hr. okr. Partiz·nske, ZlatÈ Moravce; Sk˝cov, okr. ZlatÈ Moravce";18,191;
cesta III. triedy;1751;"zaË. cesty III/1751, kriû. III/1750 x III/1751, Jeökova Ves, okr. Partiz·nske; kriû. III/1751 x MK, Jeökova Ves, okr. Partiz·nske; kriû. III/1751 x MK, Veæk˝ KlÌû »asù KlÌû, okr. Partiz·nske; kriû. III/1751 x MK, Veæk˝ KlÌû, okr. Partiz·nske; kon. cesty III/1751, Veæk˝ KlÌû, okr. Partiz·nske";"Jeökova Ves, okr. Partiz·nske; Veæk˝ KlÌû »asù KlÌû, okr. Partiz·nske; Veæk˝ KlÌû, okr. Partiz·nske";3,277;
